,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-1921.846456,-1921.851924,-1939.453568,-1939.373561
2,Ekin =,1919.894783,1919.901853,1973.731946,1968.130697
3,Ecoul =,833.754978,833.827780,838.823760,838.406098
4,Eenuc =,-4603.576824,-4603.654197,-4681.147880,-4675.106069
5,Exc =,-71.919393,-71.927360,-70.861393,-70.804286
6,1s,-370.170639,-370.168538-370.167766,-373.967124,-374.076649
7,2s,-45.200869,-45.198492-45.198361,-46.182210,-46.200012
8,2p,-40.093339,-40.091119-40.090664,-40.966245-39.956917,-40.303964
9,3s,-5.241645,-5.239570-5.238913,-5.403079,-5.404759
10,3p,-3.584666,-3.582704-3.581826,-3.710005-3.576816,-3.621332
11,3d,-0.736204,-0.735030-0.732588,-0.724702-0.707694,-0.714634
12,4s,-0.328019,-0.336369-0.314666,-0.336354,-0.336407
13,4p,-0.101634,-0.110200-0.088291,-0.103490-0.099023,-0.100475
