,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-5195.031215,-5195.037351,-5305.487822,-5304.298884
2,Ekin =,5191.818600,5191.826711,5537.467641,5495.980760
3,Ecoul =,2131.618463,2131.701991,2160.192112,2157.628228
4,Eenuc =,-12377.294484,-12377.383542,-12865.696462,-12820.702324
5,Exc =,-141.173794,-141.182511,-137.451114,-137.205548
6,1s,-900.324578,-900.323018-900.322342,-925.100814,-925.674173
7,2s,-129.859807,-129.857873-129.857927,-136.360076,-136.476376
8,2p,-120.913351,-120.911471-120.911414,-126.908805-120.522583,-122.628414
9,3s,-23.678437,-23.676747-23.676394,-24.991112,-25.010846
10,3p,-20.067630,-20.065928-20.065596,-21.201871-20.073878,-20.441965
11,3d,-13.367803,-13.366019-13.365839,-13.309422-13.081156,-13.184815
12,4s,-3.223090,-3.221445-3.221253,-3.480046,-3.482162
13,4p,-2.086602,-2.085232-2.084523,-2.280871-2.092419,-2.152005
14,4d,-0.298706,-0.299962-0.294005,-0.294880-0.274268,-0.282334
15,5s,-0.157407,-0.167365-0.142816,-0.172527,-0.172492
