,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-10419.710775,-10420.023146,-10826.732435,-10818.775287
2,Ekin =,10415.168162,10415.505401,11734.852167,11554.331287
3,Ecoul =,4124.189856,4126.262363,4216.975716,4207.288219
4,Eenuc =,-24732.674220,-24735.018823,-26561.180412,-26363.657072
5,Exc =,-226.394574,-226.772086,-217.379906,-216.737721
6,1s,-1672.309322,-1672.271303-1672.271295,-1764.427481,-1766.373116
7,2s,-265.199534,-265.160562-265.155565,-289.994007,-290.439989
8,2p,-252.176697,-252.137428-252.134433,-275.422638-251.870890,-259.186835
9,3s,-58.068128,-58.075734-57.966734,-63.827931,-63.926186
10,3p,-52.281987,-52.285445-52.185348,-57.478628-52.675037,-54.166802
11,3d,-41.465518,-41.456817-41.382609,-41.603296-40.552431,-41.042507
12,4s,-11.267747,-11.330857-11.121462,-12.648456,-12.667811
13,4p,-9.025455,-9.088586-8.880446,-10.189035-9.122308,-9.447968
14,4d,-5.032420,-5.095562-4.890583,-5.053427-4.861212,-4.946526
15,4f,-0.232773,-0.291137-0.113704,-0.124443-0.101658,-0.111716
16,5s,-1.444087,-1.479601-1.384683,-1.636699,-1.639370
17,5p,-0.853575,-0.882201-0.807455,-0.974090-0.834029,-0.875628
18,6s,-0.129426,-0.132555-0.125368,-0.137952,-0.137961
