,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-6310.376268,-6310.419326,-6469.046105,-6467.030198
2,Ekin =,6306.857860,6306.911765,6807.128871,6745.014139
3,Ecoul =,2544.726589,2545.165680,2586.194473,2582.457965
4,Eenuc =,-15001.364743,-15001.845687,-15706.488195,-15638.946346
5,Exc =,-160.595974,-160.651084,-155.881254,-155.555956
6,1s,-1070.823495,-1070.815304-1070.812860,-1106.483205,-1107.285797
7,2s,-159.171745,-159.163044-159.161890,-168.555568,-168.725279
8,2p,-149.214271,-149.205911-149.204032,-157.911924-148.744620,-151.729267
9,3s,-31.098242,-31.090245-31.088024,-33.043537,-33.075360
10,3p,-26.956184,-26.948273-26.945864,-28.655649-26.963213,-27.510672
11,3d,-19.239895,-19.231861-19.229660,-19.149581-18.796069,-18.958985
12,4s,-5.049640,-5.043457-5.038484,-5.435757,-5.440505
13,4p,-3.646579,-3.640782-3.635089,-3.945024-3.628270,-3.728492
14,4d,-1.297338,-1.293993-1.283407,-1.261711-1.215797,-1.235331
15,5s,-0.445605,-0.465139-0.406132,-0.479158,-0.479614
16,5p,-0.185623,-0.205259-0.147478,-0.199446-0.176336,-0.183494
