,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-12936.786494,-12936.793549,-13549.258539,-13534.832864
2,Ekin =,12931.649735,12931.657274,14952.782514,14663.344745
3,Ecoul =,5196.611124,5196.639086,5325.995668,5311.599603
4,Eenuc =,-30799.515253,-30799.549658,-33574.513283,-33257.081306
5,Exc =,-265.532099,-265.540251,-253.523438,-252.695905
6,1s,-2022.471608,-2022.471100-2022.471098,-2161.695703,-2164.566898
7,2s,-327.057120,-327.057174-327.055961,-364.972056,-365.644921
8,2p,-312.510608,-312.510436-312.509693,-348.208317-312.615471,-323.356963
9,3s,-72.873753,-72.883376-72.862853,-82.043390,-82.196460
10,3p,-66.239338,-66.248091-66.229322,-74.605801-67.084276,-69.355355
11,3d,-53.835494,-53.841782-53.827974,-54.309585-52.656666,-53.423051
12,4s,-13.865665,-13.881551-13.848680,-16.131024,-16.161007
13,4p,-11.187151,-11.202899-11.170322,-13.131685-11.425675,-11.929997
14,4d,-6.350307,-6.365772-6.333799,-6.467966-6.156136,-6.292904
15,4f,-0.283120,-0.296820-0.268602,-1.954274,-0.126951
16,5s,-1.649990,-1.655951-1.643809,-1.141668-0.931971,-1.958059
17,5p,-0.950748,-0.955349-0.946002,-0.151744-0.107642,-0.991646
18,6s,-0.135953,-0.136311-0.135592,-0.147784,-0.147723
