,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-25001.291382,-25001.320237,-27223.303042,-27129.338419
2,Ekin =,24994.200598,24994.233620,33054.152602,31664.960646
3,Ecoul =,9743.171707,9743.477704,10187.108117,10129.726035
4,Eenuc =,-59321.169428,-59321.502729,-70075.042542,-68535.999440
5,Exc =,-417.494259,-417.528831,-389.521218,-388.025659
6,1s,-3606.333629,-3606.329916-3606.329930,-4112.759579,-4123.294750
7,2s,-623.870431,-623.867345-623.866002,-765.623275,-768.341688
8,2p,-603.470278,-603.466969-603.466073,-738.138026-606.902342,-641.548753
9,3s,-156.466742,-156.467309-156.458762,-192.646537,-193.379441
10,3p,-146.485678,-146.485936-146.478002,-180.160802-149.970301,-158.044242
11,3d,-127.781168,-127.780545-127.774346,-130.155969-123.957604,-126.877024
12,4s,-39.064507,-39.063411-39.058381,-48.684485,-48.883171
13,4p,-34.482930,-34.481944-34.476691,-43.076874-35.235557,-37.319404
14,4d,-25.933121,-25.932462-25.926543,-26.276845-24.822441,-25.500768
15,4f,-14.105747,-8.476784-8.442756,-10.728516,-12.851259
16,5s,-8.463463,-6.724179-6.688036,-8.567087-6.728597,-10.779842
17,5p,-6.709821,-14.106137-14.098101,-13.001065-12.624410,-7.214495
18,5d,-3.659928,-3.676486-3.635866,-3.569292-3.296997,-3.423649
19,5f,-0.316813,-0.335649-0.290924,-0.107841-0.081950,-0.096740
20,6s,-1.287232,-1.304980-1.262984,-1.669263,-1.678553
21,6p,-0.799756,-0.816112-0.777471,-1.050161-0.750502,-0.825890
22,6d,-0.142481,-0.153703-0.127655,-0.103423-0.086266,-0.092540
23,7s,-0.129653,-0.134875-0.123018,-0.158073,-0.157960
