,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-18404.274220,-18404.274220,-19610.685763,-19572.039277
2,Ekin =,18398.108387,18398.108387,22542.379457,21893.543019
3,Ecoul =,7374.994996,7374.994996,7623.259953,7594.228549
4,Eenuc =,-43837.047179,-43837.047179,-49454.730395,-48739.415505
5,Exc =,-340.330424,-340.330424,-321.594778,-320.395340
6,1s,-2755.022637,-2755.022637-2755.022637,-3029.900293,-3035.505153
7,2s,-461.278640,-461.278640-461.278640,-537.186737,-538.563629
8,2p,-443.848676,-443.848676-443.848676,-515.707614-445.096377,-465.159286
9,3s,-108.597921,-108.597921-108.597921,-127.530438,-127.870661
10,3p,-100.328031,-100.328031-100.328031,-117.807774-102.150248,-106.622314
11,3d,-84.845492,-84.845492-84.845492,-86.000958-82.626504,-84.195815
12,4s,-23.222921,-23.222921-23.222921,-28.009753,-28.086349
13,4p,-19.636187,-19.636187-19.636187,-23.832949-20.041059,-21.105095
14,4d,-13.019221,-13.019221-13.019221,-13.193867-12.483256,-12.800533
15,4f,-4.110291,-4.110291-4.110291,-3.630123-3.476034,-3.554327
16,5s,-3.423486,-3.423486-3.423486,-4.323437,-4.334810
17,5p,-2.261975,-2.261975-2.261975,-2.937372-2.265133,-2.446106
18,5d,-0.452552,-0.452552-0.452552,-0.413653-0.345891,-0.371655
19,6s,-0.205137,-0.205137-0.205137,-0.260888,-0.260552
