,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-14795.884202,-14795.927133,-15587.050789,-15566.119096
2,Ekin =,14790.376452,14790.427630,17436.132224,17045.050226
3,Ecoul =,5949.357668,5949.841463,6115.300224,6096.568291
4,Eenuc =,-35243.460062,-35243.983782,-38860.520067,-38430.737576
5,Exc =,-292.158260,-292.212445,-277.963169,-277.000037
6,1s,-2275.371387,-2275.364159-2275.364111,-2455.439663,-2459.123938
7,2s,-372.828724,-372.823593-372.819329,-422.123743,-423.002342
8,2p,-357.248334,-357.242756-357.239368,-403.764155-357.667990,-371.295553
9,3s,-84.658467,-84.652161-84.650500,-96.728144,-96.934771
10,3p,-77.440942,-77.434649-77.432947,-88.507489-78.574886,-81.517705
11,3d,-63.942521,-63.936718-63.933987,-64.612938-62.437250,-63.446841
12,4s,-16.713337,-16.708171-16.704547,-19.688385,-19.731564
13,4p,-13.719810,-13.714777-13.710894,-16.290270-13.993863,-14.661077
14,4d,-8.265848,-8.261298-8.256454,-8.385807-7.961845,-8.149694
15,4f,-1.199347,-1.197249-1.187513,-0.962854-0.889871,-0.924736
16,5s,-2.223807,-2.239385-2.193862,-2.670878,-2.677212
17,5p,-1.376530,-1.395378-1.343159,-1.681344-1.359740,-1.450266
18,5d,-0.182464,-0.205023-0.147486,-0.153393-0.131684,-0.139951
19,6s,-0.174814,-0.187477-0.156886,-0.205411,-0.205362
