,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-20671.256539,-20671.273855,-22187.563959,-22133.678779
2,Ekin =,20664.756110,20664.777505,25967.146314,25108.089737
3,Ecoul =,8200.970142,8201.187198,8513.424952,8475.713236
4,Eenuc =,-49169.103742,-49169.338082,-56321.951182,-55372.632927
5,Exc =,-367.879049,-367.900477,-346.184043,-344.848825
6,1s,-3050.988417,-3050.986187-3050.985077,-3396.461191,-3403.541382
7,2s,-517.275843,-517.273342-517.272837,-613.108455,-614.883273
8,2p,-498.771920,-498.769565-498.768755,-589.624047-500.624784,-525.295428
9,3s,-124.783683,-124.781300-124.780622,-148.867460,-149.324361
10,3p,-115.898384,-115.896049-115.895271,-138.203148-118.183514,-123.780039
11,3d,-99.256068,-99.253696-99.252982,-100.732005-96.479462,-98.470041
12,4s,-28.422540,-28.420459-28.419244,-34.587486,-34.701600
13,4p,-24.481337,-24.479291-24.478008,-29.921276-24.942214,-26.318458
14,4d,-17.173307,-17.171289-17.169952,-17.347952-16.413934,-16.842077
15,4f,-7.206499,-7.204524-7.203109,-6.489033-6.269504,-6.393611
16,5s,-5.027447,-5.026610-5.023183,-6.270680,-6.296310
17,5p,-3.655382,-3.654801-3.650884,-4.619932-3.623753,-3.895750
18,5d,-1.386458,-1.387693-1.380139,-1.296859-1.170132,-1.227885
19,6s,-0.493528,-0.508059-0.472876,-0.625086,-0.629214
20,6p,-0.217889,-0.232423-0.197575,-0.279952-0.189910,-0.213472
