,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-24353.832231,-24353.847359,-26460.742639,-26373.785954
2,Ekin =,24346.845656,24346.864361,31945.510238,30647.359799
3,Ecoul =,9483.654939,9483.843618,9912.388894,9857.992062
4,Eenuc =,-57774.567583,-57774.771297,-67935.760645,-66497.743484
5,Exc =,-409.765243,-409.784042,-382.881127,-381.394331
6,1s,-3524.439052,-3524.436771-3524.436766,-4004.437598,-4014.403780
7,2s,-608.350958,-608.349337-608.348019,-742.469605,-745.034031
8,2p,-588.218112,-588.216358-588.215300,-715.595823-591.308934,-624.369811
9,3s,-152.079741,-152.077856-152.077123,-186.178909,-186.868857
10,3p,-142.255810,-142.253905-142.253208,-173.967242-145.462318,-153.141214
11,3d,-123.846396,-123.844606-123.843668,-125.990043-120.105576,-122.878733
12,4s,-37.814094,-37.812426-37.811321,-46.778795,-46.966396
13,4p,-33.325252,-33.323615-33.322449,-41.312728-33.951214,-35.922957
14,4d,-24.955184,-24.953631-24.952296,-25.191799-23.822785,-24.463333
15,4f,-13.397389,-13.395851-13.394484,-12.276395-11.925752,-12.138754
16,5s,-8.287057,-8.286621-8.283231,-10.317430,-10.367446
17,5p,-6.582810,-6.582381-6.578995,-8.230184-6.530674,-6.985658
18,5d,-3.625729,-3.625553-3.621703,-3.478102-3.226924,-3.346091
19,6s,-1.333769,-1.342377-1.320802,-1.679820,-1.689671
20,6p,-0.846921,-0.857746-0.831587,-1.075929-0.787122,-0.861626
21,6d,-0.172896,-0.185998-0.155597,-0.130465-0.111179,-0.118704
22,7s,-0.135872,-0.143059-0.126785,-0.167099,-0.167110
