,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-16286.295408,-16286.375492,-17237.891426,-17210.516806
2,Ekin =,16280.510034,16280.602886,19497.654522,19010.365442
3,Ecoul =,6537.173416,6537.708331,6735.590870,6712.918147
4,Eenuc =,-38791.574393,-38792.187710,-43174.748804,-42638.478646
5,Exc =,-312.404466,-312.498998,-296.388014,-295.321749
6,1s,-2475.238617,-2475.230617-2475.230330,-2691.929615,-2696.350719
7,2s,-409.522396,-409.518648-409.509887,-469.062660,-470.130700
8,2p,-393.154080,-393.149454-393.142414,-449.420042-393.875269,-410.029278
9,3s,-94.501324,-94.495602-94.491231,-109.196350,-109.453174
10,3p,-86.837047,-86.831305-86.826947,-100.353168-88.228465,-91.766852
11,3d,-72.497183,-72.492312-72.486123,-73.344765-70.703374,-71.930129
12,4s,-19.362527,-19.359132-19.350824,-23.012681,-23.068246
13,4p,-16.119671,-16.116540-16.107708,-19.292789-16.434663,-17.253310
14,4d,-10.176082,-10.173814-10.163251,-10.307655-9.775568,-10.012243
15,4f,-2.321175,-2.321453-2.305740,-1.985441-1.882236,-1.933105
16,5s,-2.738293,-2.766534-2.693546,-3.350595,-3.358819
17,5p,-1.757404,-1.788715-1.709392,-2.196894-1.746762,-1.871239
18,5d,-0.296791,-0.329837-0.249297,-0.262655-0.223913,-0.238716
19,6s,-0.191489,-0.205619-0.173551,-0.233439,-0.233282
