,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-8217.575230,-8217.579298,-8478.132735,-8473.978141
2,Ekin =,8213.607378,8213.612422,9045.718274,8936.988405
3,Ecoul =,3215.018109,3215.065667,3282.143276,3275.859442
4,Eenuc =,-19455.494762,-19455.546080,-20621.816733,-20503.122928
5,Exc =,-190.705955,-190.711308,-184.177552,-183.703061
6,1s,-1355.622446,-1355.621523-1355.621542,-1414.238370,-1415.519182
7,2s,-209.831151,-209.830784-209.829679,-225.362814,-225.648465
8,2p,-198.325243,-198.324749-198.323898,-212.807534-197.780426,-202.570581
9,3s,-44.856283,-44.855739-44.855024,-48.217421,-48.277625
10,3p,-39.895838,-39.895298-39.894572,-42.875827-39.946028,-40.878717
11,3d,-30.626696,-30.626258-30.625322,-30.512299-29.882186,-30.177403
12,4s,-9.000543,-9.000478-8.998866,-9.727067,-9.738810
13,4p,-7.167724,-7.167673-7.166038,-7.755776-7.127246,-7.324636
14,4d,-3.958010,-3.958090-3.956200,-3.878919-3.769413,-3.818473
15,5s,-1.324936,-1.330050-1.318100,-1.430505,-1.432252
16,5p,-0.824498,-0.830735-0.816518,-0.890466-0.796879,-0.825697
17,5d,-0.141085,-0.148472-0.132171,-0.122652-0.115678,-0.118483
18,6s,-0.132233,-0.136490-0.127232,-0.139768,-0.139796
