,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-2570.620700,-2570.626651,-2600.688476,-2600.512192
2,Ekin =,2568.365427,2568.372520,2660.747180,2650.768984
3,Ecoul =,1098.492305,1098.521830,1107.315080,1106.608840
4,Eenuc =,-6149.802515,-6149.837853,-6282.590113,-6271.817272
5,Exc =,-87.675917,-87.683149,-86.160623,-86.072744
6,1s,-480.182643,-480.182834-480.180431,-486.764820,-486.941125
7,2s,-61.710022,-61.709832-61.708277,-63.404618,-63.435363
8,2p,-55.677960,-55.678096-55.675875,-57.203337-55.470409,-56.060938
9,3s,-8.409057,-8.409763-8.406555,-8.691849,-8.695492
10,3p,-6.298805,-6.299711-6.296097,-6.524625-6.274331,-6.357818
11,3d,-2.522110,-2.523476-2.518928,-2.487192-2.447301,-2.464447
12,4s,-0.720066,-0.731934-0.706135,-0.745008,-0.745247
13,4p,-0.295334,-0.306343-0.282508,-0.306775-0.288098,-0.294158
