,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-23716.496952,-23716.500662,-25713.136323,-25632.721550
2,Ekin =,23709.594347,23709.599008,30870.784839,29658.268932
3,Ecoul =,9262.611883,9262.673529,9671.364432,9620.065389
4,Eenuc =,-56286.016507,-56286.081704,-65878.529535,-64535.768942
5,Exc =,-402.686674,-402.691495,-376.756059,-375.286929
6,1s,-3443.110367,-3443.109623-3443.109632,-3897.960030,-3907.380523
7,2s,-592.622878,-592.622400-592.621876,-719.545520,-721.959963
8,2p,-572.762700,-572.762168-572.761751,-693.272445-575.602165,-607.131247
9,3s,-147.320716,-147.320128-147.319840,-179.517698,-180.163528
10,3p,-137.654394,-137.653798-137.653524,-167.576374-140.671853,-147.967919
11,3d,-119.541743,-119.541194-119.540823,-121.542157-115.958328,-118.587738
12,4s,-36.158260,-36.157753-36.157316,-44.571595,-44.745643
13,4p,-31.761846,-31.761351-31.760890,-39.244686-32.338307,-34.199462
14,4d,-23.570610,-23.570149-23.569619,-23.776608-22.489310,-23.090599
15,4f,-12.278225,-12.277773-12.277225,-11.214246-10.888518,-11.085209
16,5s,-7.713078,-7.713073-7.711677,-9.572145,-9.618135
17,5p,-6.065110,-6.065102-6.063715,-7.560786-5.999442,-6.419988
18,5d,-3.222752,-3.222848-3.221266,-3.068997-2.842064,-2.949987
19,6s,-1.196980,-1.201115-1.191448,-1.485427,-1.494579
20,6p,-0.744524,-0.749893-0.737722,-0.926213-0.679081,-0.743495
21,6d,-0.137786,-0.144561-0.129692,-0.096589-0.082506,-0.088012
22,7s,-0.126551,-0.130647-0.121751,-0.149521,-0.149585
