,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-5737.309064,-5737.313809,-5870.165899,-5868.610083
2,Ekin =,5733.944120,5733.950328,6151.216822,6100.276039
3,Ecoul =,2334.432447,2334.515886,2369.191647,2366.090371
4,Eenuc =,-13654.870647,-13654.958268,-14243.954925,-14188.640485
5,Exc =,-150.814984,-150.821755,-146.619443,-146.336008
6,1s,-983.647445,-983.645885-983.645444,-1013.478020,-1014.158195
7,2s,-144.078357,-144.076648-144.076536,-151.913035,-152.053919
8,2p,-134.628845,-134.627214-134.626943,-141.873435-134.194416,-136.710712
9,3s,-27.220600,-27.219024-27.218673,-28.820727,-28.845851
10,3p,-23.345778,-23.344217-23.343834,-24.735818-23.347867,-23.798803
11,3d,-16.139823,-16.138233-16.137907,-16.062048-15.776264,-15.906974
12,4s,-4.062639,-4.061280-4.060576,-4.373328,-4.376509
13,4p,-2.795832,-2.794566-2.793684,-3.032017-2.786227,-2.863935
14,4d,-0.730481,-0.730118-0.727450,-0.708225-0.676442,-0.689460
15,5s,-0.290497,-0.297732-0.279535,-0.310718,-0.310881
16,5p,-0.101782,-0.109434-0.090401,-0.107222-0.095610,-0.099178
