,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-14317.493720,-14317.512212,-15060.404634,-15041.302710
2,Ekin =,14312.076902,14312.099208,16787.907398,16424.877590
3,Ecoul =,5760.587419,5760.863500,5916.472097,5898.918562
4,Eenuc =,-34104.629307,-34104.921719,-37492.884612,-37094.128029
5,Exc =,-285.528734,-285.553202,-271.899517,-270.970833
6,1s,-2210.651990,-2210.647881-2210.647883,-2379.706078,-2383.169874
7,2s,-361.006527,-361.003566-361.001246,-407.231108,-408.053490
8,2p,-345.687023,-345.683814-345.681981,-389.282804-346.023424,-358.879893
9,3s,-81.522812,-81.519107-81.518395,-92.811947,-93.003809
10,3p,-74.452656,-74.448967-74.448217,-84.792167-75.513513,-78.275918
11,3d,-61.231443,-61.228050-61.226686,-61.853398-59.818340,-60.762383
12,4s,-15.883625,-15.880492-15.878749,-18.665176,-18.704710
13,4p,-12.971211,-12.968150-12.966265,-15.370257-13.237819,-13.860168
14,4d,-7.676638,-7.673853-7.671417,-7.797870-7.405424,-7.578974
15,4f,-0.871574,-0.870538-0.864620,-0.667584-0.603343,-0.633577
16,5s,-2.049828,-2.059444-2.032107,-2.451237,-2.456978
17,5p,-1.246441,-1.258475-1.226257,-1.513938-1.228520,-1.309249
18,5d,-0.143805,-0.158945-0.121844,-0.116709-0.099969,-0.106303
19,6s,-0.166465,-0.175914-0.153585,-0.192568,-0.192551
