,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-7550.557710,-7550.561866,-7772.666770,-7769.373337
2,Ekin =,7546.734488,7546.740568,8252.878117,8162.159299
3,Ecoul =,2988.242134,2988.348332,3046.118498,3040.791832
4,Eenuc =,-17904.906060,-17905.016432,-18896.908146,-18797.990281
5,Exc =,-180.628271,-180.634333,-174.755239,-174.334186
6,1s,-1256.738791,-1256.736881-1256.736717,-1306.692814,-1307.794166
7,2s,-191.981873,-191.979944-191.979840,-205.181744,-205.423539
8,2p,-180.995344,-180.993410-180.993314,-193.280344-180.463172,-184.579273
9,3s,-39.851584,-39.849682-39.849537,-42.664209,-42.713602
10,3p,-35.166423,-35.164518-35.164377,-37.648059-35.190893,-35.977860
11,3d,-26.418398,-26.416487-26.416357,-26.303331-25.778945,-26.023693
12,4s,-7.455966,-7.454159-7.453861,-8.041899,-8.051051
13,4p,-5.769326,-5.767535-5.767209,-6.235768-5.729797,-5.889463
14,4d,-2.848386,-2.846645-2.846231,-2.778603-2.694396,-2.731851
15,5s,-0.915819,-0.914597-0.913345,-0.984885,-0.986167
16,5p,-0.504903,-0.504222-0.501909,-0.542233-0.481197,-0.500089
17,6s,-0.078699,-0.084555-0.068328,-0.081614,-0.081620
