,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-3329.520604,-3329.525142,-3378.030204,-3377.673981
2,Ekin =,3326.984254,3326.989782,3476.837608,3460.017556
3,Ecoul =,1384.603788,1384.663406,1398.703210,1397.559798
4,Eenuc =,-7937.187681,-7937.250826,-8151.743067,-8133.552916
5,Exc =,-103.920964,-103.927504,-101.827955,-101.698418
6,1s,-605.631981,-605.630296-605.630355,-616.344879,-616.616721
7,2s,-81.789102,-81.788453-81.786362,-84.552543,-84.603040
8,2p,-74.803201,-74.802287-74.800732,-77.313923-74.515446,-75.460167
9,3s,-12.992217,-12.991310-12.989836,-13.477985,-13.485139
10,3p,-10.399926,-10.399089-10.397473,-10.799420-10.360925,-10.506650
11,3d,-5.671499,-5.670962-5.668732,-5.610158-5.531402,-5.566395
12,4s,-1.697124,-1.702817-1.688259,-1.759572,-1.760330
13,4p,-1.024490,-1.031230-1.014616,-1.063152-1.009027,-1.026671
14,4d,-0.108691,-0.116558-0.098390,-0.099743-0.096514,-0.097770
15,5s,-0.150727,-0.155925-0.144191,-0.155081,-0.155102
