,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-18956.957627,-18956.962102,-20235.321930,-20193.281797
2,Ekin =,18950.710388,18950.716273,23360.929354,22664.592412
3,Ecoul =,7576.942724,7577.062261,7840.228070,7809.187848
4,Eenuc =,-45137.454222,-45137.577780,-51108.767135,-50340.584605
5,Exc =,-347.156518,-347.162855,-327.712220,-326.477452
6,1s,-2827.569408,-2827.568015-2827.567761,-3118.843552,-3124.788495
7,2s,-474.953368,-474.951885-474.951826,-555.478486,-556.946663
8,2p,-457.255971,-457.254530-457.254386,-533.514894-458.641552,-479.788540
9,3s,-112.522180,-112.520736-112.520610,-132.644608,-133.011513
10,3p,-104.099296,-104.097865-104.097714,-122.692637-106.028502,-110.763693
11,3d,-88.328299,-88.326854-88.326729,-89.557020-85.977378,-87.645109
12,4s,-24.471512,-24.470130-24.469893,-29.572735,-29.657947
13,4p,-20.797078,-20.795703-20.795452,-25.276689-21.213802,-22.350133
14,4d,-14.008848,-14.007478-14.007217,-14.182239-13.420259,-13.763137
15,4f,-4.835747,-4.834391-4.834105,-4.299954-4.130971,-4.219783
16,5s,-3.811512,-3.810344-3.809741,-4.786760,-4.801548
17,5p,-2.598730,-2.597651-2.596882,-3.336840-2.593223,-2.794757
18,5d,-0.674544,-0.674500-0.671683,-0.623914-0.542873,-0.576123
19,6s,-0.285020,-0.291740-0.275036,-0.358491,-0.359528
20,6p,-0.101507,-0.108799-0.090857,-0.124086-0.084677,-0.094650
