,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-19518.993145,-19519.010773,-20872.887097,-20827.188652
2,Ekin =,19512.662684,19512.685289,24203.982259,23456.921585
3,Ecoul =,7781.994459,7782.343079,8060.985186,8027.843592
4,Eenuc =,-46459.627742,-46459.993126,-52804.004616,-51979.373091
5,Exc =,-354.022546,-354.046015,-333.849926,-332.580738
6,1s,-2901.078061,-2901.073968-2901.073264,-3209.559491,-3215.862876
7,2s,-488.843335,-488.839044-488.838798,-574.220773,-575.785358
8,2p,-470.877785,-470.873595-470.873136,-551.761782-472.409787,-494.685076
9,3s,-116.526852,-116.522662-116.522270,-137.902276,-138.297315
10,3p,-107.950391,-107.946232-107.945774,-127.717013-109.992083,-115.001988
11,3d,-91.889924,-91.885734-91.885331,-93.196164-89.401978,-91.172486
12,4s,-25.753330,-25.749334-25.748612,-31.188199,-31.282373
13,4p,-21.990564,-21.986589-21.985825,-26.770858-22.420348,-23.632578
14,4d,-15.030026,-15.026070-15.025272,-15.202782-14.386516,-14.756230
15,4f,-5.592532,-5.588614-5.587748,-4.998502-4.813673,-4.913467
16,5s,-4.206797,-4.203583-4.201576,-5.264036,-5.282191
17,5p,-2.941657,-2.938665-2.936250,-3.748596-2.927281,-3.150698
18,5d,-0.902393,-0.901432-0.894992,-0.839121-0.743864,-0.784774
19,6s,-0.357187,-0.369628-0.335143,-0.448677,-0.450774
20,6p,-0.141831,-0.154876-0.119481,-0.176692-0.121877,-0.136111
