,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-17326.576377,-17326.590110,-18399.215801,-18366.632397
2,Ekin =,17320.592847,17320.609710,20975.239528,20412.559146
3,Ecoul =,6958.348706,6958.546347,7178.033836,7152.388812
4,Eenuc =,-41279.089979,-41279.301033,-46243.444057,-45623.668053
5,Exc =,-326.427950,-326.445135,-309.045109,-307.912303
6,1s,-2613.096532,-2613.094116-2613.093624,-2857.485793,-2862.466310
7,2s,-434.858003,-434.856671-434.854095,-502.202126,-503.415250
8,2p,-417.960530,-417.958967-417.956843,-481.660768-418.961606,-436.988473
9,3s,-101.274869,-101.273007-101.271514,-118.010661,-118.306156
10,3p,-93.309108,-93.307239-93.305758,-108.735067-94.938089,-98.921767
11,3d,-78.400271,-78.398627-78.396696,-79.426231-76.435279,-77.824850
12,4s,-21.110651,-21.109418-21.106712,-25.328067,-25.393016
13,4p,-17.697297,-17.696143-17.693280,-21.383680-18.087196,-19.021554
14,4d,-11.419476,-11.418557-11.415227,-11.603639-10.987462,-11.261688
15,4f,-3.038049,-3.037646-3.033285,-2.666956-2.539966,-2.603179
16,5s,-2.950526,-2.957320-2.938520,-3.727034,-3.736270
17,5p,-1.884256,-1.891890-1.871371,-2.461916-1.912464,-2.061800
18,5d,-0.273634,-0.283902-0.257852,-0.265999-0.216936-0.216936,-0.235132
19,6s,-0.161308,-0.172888-0.143855,-0.218086,-0.217611
