,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-6914.773092,-6914.777857,-7103.057179,-7100.468962
2,Ekin =,6911.095910,6911.101681,7507.152121,7431.873857
3,Ecoul =,2766.012734,2766.045523,2815.098395,2810.622805
4,Eenuc =,-16421.269549,-16421.307101,-17259.970136,-17177.999198
5,Exc =,-170.612187,-170.617960,-165.337559,-164.966427
6,1s,-1161.787047,-1161.786945-1161.785733,-1204.126144,-1205.068541
7,2s,-175.073804,-175.073444-175.072779,-186.238720,-186.441920
8,2p,-164.603788,-164.603591-164.602595,-174.974603-164.102280,-167.618372
9,3s,-35.243351,-35.243244-35.242113,-37.591620,-37.631504
10,3p,-30.831092,-30.831031-30.829806,-32.893354-30.846481,-31.505471
11,3d,-22.600693,-22.600586-22.599448,-22.498908-22.066278,-22.267031
12,4s,-6.115811,-6.116435-6.113935,-6.594080,-6.600825
13,4p,-4.572522,-4.573281-4.570514,-4.948181-4.545333,-4.672730
14,4d,-1.938179,-1.939631-1.935472,-1.887791-1.824581,-1.852195
15,5s,-0.596339,-0.605551-0.585631,-0.646152,-0.646946
16,5p,-0.267904,-0.276762-0.257677,-0.292122-0.254392,-0.266037
