,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-17860.790943,-17860.796573,-18998.624707,-18963.123612
2,Ekin =,17854.711365,17854.718788,21747.193062,21142.905064
3,Ecoul =,7170.546095,7170.660357,7402.763425,7375.492666
4,Eenuc =,-42552.587217,-42552.706633,-47833.196642,-47167.302579
5,Exc =,-333.461185,-333.469086,-315.384552,-314.218763
6,1s,-2683.508245,-2683.506932-2683.506526,-2942.788882,-2948.072638
7,2s,-447.888973,-447.887467-447.887440,-519.426078,-520.718432
8,2p,-430.725701,-430.724215-430.724147,-498.421027-431.864681,-450.888397
9,3s,-104.824516,-104.823089-104.822939,-122.648439,-122.965344
10,3p,-96.707000,-96.705574-96.705422,-113.151177-98.448596,-102.670737
11,3d,-81.511751,-81.510292-81.510199,-82.619014-79.440709,-80.917806
12,4s,-22.078357,-22.077005-22.076733,-26.590306,-26.660632
13,4p,-18.578652,-18.577304-18.577025,-22.530703-18.994015,-19.991252
14,4d,-12.131815,-12.130467-12.130188,-12.329462-11.667413,-11.962303
15,4f,-3.486824,-3.485485-3.485198,-3.080939-2.940841,-3.011085
16,5s,-3.113936,-3.112701-3.112366,-3.966374,-3.976365
17,5p,-2.002495,-2.001536-2.000686,-2.642732-2.036180,-2.199902
18,5d,-0.304738,-0.306572-0.300133,-0.297880-0.241534,-0.262411
19,6s,-0.162334,-0.171691-0.149130,-0.222547,-0.221999
