,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-12494.718304,-12494.746152,-13068.169202,-13055.061842
2,Ekin =,12489.682402,12489.712207,14376.130835,14108.042664
3,Ecoul =,5005.110005,5005.227549,5127.726897,5114.219595
4,Eenuc =,-29730.765707,-29730.908576,-32324.747955,-32030.841083
5,Exc =,-258.745003,-258.777332,-247.278978,-246.483018
6,1s,-1961.799176,-1961.797035-1961.797030,-2092.062806,-2094.758337
7,2s,-316.310631,-316.309432-316.307167,-351.719264,-352.348833
8,2p,-302.018270,-302.016669-302.015286,-335.334797-302.036272,-312.136138
9,3s,-70.310142,-70.327259-70.287661,-78.823733,-78.966296
10,3p,-63.818655,-63.834113-63.797882,-71.573655-64.574810,-66.698513
11,3d,-51.682149,-51.692892-51.666213,-52.088642-50.550603,-51.264473
12,4s,-13.423547,-13.453738-13.388718,-15.518822,-15.546812
13,4p,-10.819574,-10.849515-10.785065,-12.613406-11.030459,-11.501076
14,4d,-6.127443,-6.156868-6.093618,-6.225804-5.936804,-6.063848
15,4f,-0.278577,-0.304697-0.249010,-0.150730-0.110786,-0.128341
16,5s,-1.616073,-1.627896-1.603272,-1.899052,-1.902656
17,5p,-0.935202,-0.944381-0.925366,-1.112665-0.916053,-0.972445
18,6s,-0.134905,-0.135650-0.134146,-0.146084,-0.146042
