,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-6608.631413,-6608.650476,-6781.608647,-6779.321924
2,Ekin =,6605.034216,6605.057603,7151.508845,7083.078236
3,Ecoul =,2653.969369,2654.124594,2699.126623,2695.034410
4,Eenuc =,-15702.061477,-15702.235542,-16471.660084,-16397.198253
5,Exc =,-165.573522,-165.597130,-160.584032,-160.236317
6,1s,-1115.831819,-1115.829490-1115.827463,-1154.719568,-1155.589771
7,2s,-167.021776,-167.019020-167.017967,-177.265633,-177.451470
8,2p,-156.808583,-156.806104-156.804479,-166.313852-156.322525,-159.564664
9,3s,-33.137485,-33.135221-33.133343,-35.276638,-35.312307
10,3p,-28.860685,-28.858495-28.856460,-30.734496-28.871440,-29.472693
11,3d,-20.887801,-20.885524-20.883644,-20.791601-20.400030,-20.581119
12,4s,-5.572846,-5.571931-5.567736,-6.002848,-6.008535
13,4p,-4.100084,-4.099435-4.094726,-4.435181-4.077371,-4.190569
14,4d,-1.608381,-1.609236-1.601507,-1.565553-1.511413,-1.534776
15,5s,-0.520997,-0.537261-0.497620,-0.562265,-0.562882
16,5p,-0.226594,-0.242490-0.204128,-0.245317-0.215315,-0.224596
