,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-15780.236024,-15780.360135,-16675.634410,-16650.577607
2,Ekin =,15774.543959,15774.689191,18790.421644,18337.336418
3,Ecoul =,6337.535878,6338.503935,6524.706419,6503.419447
4,Eenuc =,-37586.722924,-37587.811500,-41700.558486,-41202.161483
5,Exc =,-305.592936,-305.741761,-290.203987,-289.171990
6,1s,-2407.665572,-2407.651047-2407.650789,-2611.526957,-2615.689247
7,2s,-397.087707,-397.077881-397.068254,-453.033221,-454.034449
8,2p,-380.982869,-380.972058-380.964349,-433.826740-381.594940,-396.870146
9,3s,-91.149193,-91.137179-91.132614,-104.920058,-105.159090
10,3p,-83.634578,-83.622550-83.617973,-96.287771-84.933989,-88.264454
11,3d,-69.576760,-69.565707-69.559044,-70.360195-67.881601,-69.032405
12,4s,-18.454325,-18.445046-18.436079,-21.863441,-21.914597
13,4p,-15.295495,-15.286513-15.276965,-18.252810-15.594105,-16.359352
14,4d,-9.516816,-9.508827-9.497294,-9.642318-9.148599,-9.367961
15,4f,-1.925080,-1.920556-1.902036,-1.623025-1.530594,-1.575737
16,5s,-2.567348,-2.596129-2.509082,-3.119929,-3.127489
17,5p,-1.631227,-1.664362-1.568199,-2.022011-1.618117,-1.730506
18,5d,-0.258639,-0.295729-0.195596,-0.226049-0.193387,-0.205868
19,6s,-0.186859,-0.204682-0.160962,-0.225224,-0.225105
