,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-12061.770549,-12061.832318,-12598.221653,-12586.327154
2,Ekin =,12056.834803,12056.901019,13816.190980,13568.068898
3,Ecoul =,4818.796620,4819.075824,4934.922054,4922.259676
4,Eenuc =,-28685.338027,-28685.673127,-31108.212282,-30836.297893
5,Exc =,-252.063945,-252.136035,-241.122405,-240.357836
6,1s,-1902.051908,-1902.046807-1902.046801,-2023.824663,-2026.353643
7,2s,-305.739294,-305.735313-305.732162,-338.777190,-339.365803
8,2p,-291.700994,-291.696492-291.694571,-322.766138-291.640013,-301.127794
9,3s,-67.785492,-67.807687-67.750556,-75.680347,-75.812989
10,3p,-61.436304,-61.456139-61.403837,-68.615231-62.109415,-64.093076
11,3d,-49.565996,-49.579094-49.540542,-49.909838-48.480569,-49.144633
12,4s,-12.985498,-13.028133-12.931789,-14.920378,-14.946467
13,4p,-10.455303,-10.497615-10.402091,-12.107242-10.640301,-11.078862
14,4d,-5.906195,-5.947826-5.854070,-5.986655-5.719263,-5.837062
15,4f,-0.272677,-0.309738-0.227415,-0.148512-0.112467,-0.128354
16,5s,-1.582088,-1.599612-1.562101,-1.844941,-1.848358
17,5p,-0.919463,-0.933152-0.904095,-1.084230-0.900063,-0.953285
18,6s,-0.133845,-0.135006-0.132640,-0.144415,-0.144389
