,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-10816.653877,-10817.015588,-11253.521213,-11244.701678
2,Ekin =,10812.026730,10812.416901,12232.345224,12036.507074
3,Ecoul =,4273.725204,4275.692791,4373.774424,4363.353887
4,Eenuc =,-25670.165341,-25672.462978,-27636.822576,-27422.418209
5,Exc =,-232.240470,-232.662302,-222.818285,-222.144431
6,1s,-1728.625195,-1728.588558-1728.588559,-1827.512561,-1829.594357
7,2s,-275.363130,-275.327223-275.320070,-302.005470,-302.485364
8,2p,-262.081616,-262.044950-262.040430,-287.077409-261.791408,-269.611367
9,3s,-60.764408,-60.782510-60.658331,-66.969454,-67.076417
10,3p,-54.836922,-54.850217-54.736224,-60.443038-55.253146,-56.858628
11,3d,-43.754556,-43.753962-43.669173,-43.898364-42.761540,-43.292147
12,4s,-11.986486,-12.060812-11.833326,-13.467046,-13.488617
13,4p,-9.669866,-9.743881-9.518093,-10.919046-9.756722,-10.110469
14,4d,-5.531835,-5.605206-5.383254,-5.537591-5.326485,-5.420580
15,4f,-0.489012,-0.557719-0.357123,-0.348286-0.320365,-0.333196
16,5s,-1.608477,-1.646978-1.541969,-1.822590,-1.825720
17,5p,-0.978749,-1.011172-0.923668,-1.116922-0.956286,-1.003941
18,5d,-0.127220,-0.143619-0.102139,-0.105650-0.095681,-0.099570
19,6s,-0.143627,-0.150526-0.133598,-0.156391,-0.156413
