,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-2073.807332,-2073.829860,-2094.057595,-2093.959277
2,Ekin =,2071.782093,2071.810411,2133.772372,2127.263869
3,Ecoul =,895.945638,896.161607,901.819920,901.341795
4,Eenuc =,-4965.789424,-4966.025799,-5055.066254,-5048.045180
5,Exc =,-75.745640,-75.776078,-74.583632,-74.519761
6,1s,-396.292991,-396.286773-396.284458,-400.679718,-400.803613
7,2s,-49.055282,-49.048574-49.047574,-50.187321,-50.207818
8,2p,-43.720129,-43.713794-43.711998,-44.730430-43.567264,-43.966297
9,3s,-5.961472,-5.955859-5.953137,-6.147224,-6.149280
10,3p,-4.194822,-4.189493-4.186209,-4.339944-4.182988,-4.235425
11,3d,-1.117316,-1.113417-1.107268,-1.100605-1.079068,-1.087994
12,4s,-0.426523,-0.442567-0.395513,-0.438118,-0.438208
13,4p,-0.149882,-0.165716-0.120492,-0.153561-0.146434,-0.148755
