,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-13848.230375,-13848.234767,-14545.319287,-14527.905717
2,Ekin =,13842.903527,13842.908899,16158.235835,15821.446163
3,Ecoul =,5575.225315,5575.325406,5721.337470,5704.906130
4,Eenuc =,-32987.406799,-32987.510311,-36159.025837,-35789.285476
5,Exc =,-278.952417,-278.958760,-265.866754,-264.972535
6,1s,-2146.885351,-2146.883867-2146.883885,-2305.481882,-2308.736713
7,2s,-349.390492,-349.389452-349.388567,-392.705798,-393.475057
8,2p,-334.330902,-334.329765-334.329072,-375.160955-334.593273,-346.712272
9,3s,-78.462398,-78.461003-78.460866,-89.016139,-89.194032
10,3p,-71.538779,-71.537396-71.537233,-81.194003-72.533884,-75.124302
11,3d,-58.592982,-58.591730-58.591297,-59.172759-57.271460,-58.153077
12,4s,-15.083370,-15.082157-15.081670,-17.687532,-17.723533
13,4p,-12.250904,-12.249718-12.249176,-14.493701-12.514442,-13.094483
14,4d,-7.113364,-7.112289-7.111524,-7.239717-6.876613,-7.036709
15,4f,-0.568096,-0.567934-0.565349,-0.397273-0.341167,-0.366994
16,5s,-1.872086,-1.876469-1.864780,-2.232993,-2.238083
17,5p,-1.111991,-1.117684-1.103387,-1.346093-1.093509,-1.165174
18,5d,-0.103686,-0.111317-0.093727,-0.078660-0.066682,-0.071136
19,6s,-0.155112,-0.160590-0.148225,-0.175772,-0.175779
