,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-3129.453161,-3129.453161,-3172.705798,-3172.404762
2,Ekin =,3126.990706,3126.990706,3260.414661,3245.575881
3,Ecoul =,1308.954372,1308.954372,1321.799184,1320.779520
4,Eenuc =,-7465.641817,-7465.641817,-7657.093368,-7641.052032
5,Exc =,-99.756422,-99.756422,-97.826276,-97.708130
6,1s,-572.870169,-572.870169-572.870169,-582.396573,-582.641621
7,2s,-76.491823,-76.491823-76.491823,-78.942254,-78.987134
8,2p,-69.745941,-69.745941-69.745941,-71.966857-69.472262,-70.316524
9,3s,-11.771585,-11.771585-11.771585,-12.191073,-12.197205
10,3p,-9.301863,-9.301863-9.301863,-9.643296-9.259810,-9.387429
11,3d,-4.813498,-4.813498-4.813498,-4.752585-4.685370,-4.715057
12,4s,-1.455317,-1.455317-1.455317,-1.500565,-1.501174
13,4p,-0.844489,-0.844489-0.844489,-0.869355-0.826121,-0.840231
14,5s,-0.131793,-0.131793-0.131793,-0.133639,-0.133654
