,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-6019.953353,-6019.972345,-6165.265632,-6163.492534
2,Ekin =,6016.512431,6016.536637,6473.774440,6417.478715
3,Ecoul =,2438.225987,2438.471160,2476.231135,2472.824352
4,Eenuc =,-14319.014475,-14319.277472,-14964.044067,-14902.872335
5,Exc =,-155.677296,-155.702670,-151.227140,-150.923266
6,1s,-1026.762169,-1026.757550-1026.756295,-1059.406319,-1060.145644
7,2s,-151.523991,-151.519055-151.518556,-160.105749,-160.260500
8,2p,-141.821093,-141.816346-141.815449,-149.766139-141.368700,-144.111626
9,3s,-29.125969,-29.121399-29.120303,-30.891860,-30.920177
10,3p,-25.117913,-25.113387-25.112196,-26.656377-25.122080,-25.619497
11,3d,-17.657276,-17.652681-17.651615,-17.573124-17.254826,-17.400975
12,4s,-4.546335,-4.542607-4.540200,-4.892751,-4.896669
13,4p,-3.211998,-3.208499-3.205664,-3.477532-3.198057,-3.286467
14,4d,-1.004952,-1.003200-0.996903,-0.976190-0.937712,-0.953808
15,5s,-0.369349,-0.382894-0.344764,-0.395936,-0.396243
16,5p,-0.144450,-0.158298-0.120154,-0.153892-0.136895,-0.142153
