,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-21861.346869,-21861.346869,-23556.323085,-23492.950469
2,Ekin =,21854.672700,21854.672700,27839.562791,26852.806124
3,Ecoul =,8632.016039,8632.016039,8980.890066,8938.051530
4,Eenuc =,-51966.120382,-51966.120382,-60018.170941,-58926.599137
5,Exc =,-381.915225,-381.915225,-358.605001,-357.208986
6,1s,-3204.756288,-3204.756288-3204.756288,-3590.911234,-3598.855827
7,2s,-546.577960,-546.577960-546.577960,-653.943650,-655.954489
8,2p,-527.533025,-527.533025-527.533025,-629.384272-529.745459,-557.005834
9,3s,-133.369144,-133.369144-133.369144,-160.451783,-160.979050
10,3p,-124.172862,-124.172862-124.172862,-149.290847-126.726749,-132.962557
11,3d,-106.945006,-106.945006-106.945006,-108.610708-103.858731,-106.090128
12,4s,-31.230804,-31.230804-31.230804,-38.215793,-38.353106
13,4p,-27.108985,-27.108985-27.108985,-33.292086-27.607283,-29.165132
14,4d,-19.449994,-19.449994-19.449994,-19.630351-18.565610,-19.059234
15,4f,-8.953318,-8.953318-8.953318,-8.102001-7.843506,-7.995594
16,5s,-5.889683,-5.889683-5.889683,-7.349489,-7.383977
17,5p,-4.408702,-4.408702-4.408702,-5.558376-4.359837,-4.687307
18,5d,-1.911329,-1.911329-1.911329,-1.793818-1.631236,-1.708347
19,6s,-0.626570,-0.626570-0.626570,-0.804950,-0.811281
20,6p,-0.293180,-0.293180-0.293180,-0.387498-0.255692,-0.289891
