,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-20090.414449,-20090.453943,-21523.568903,-21473.928782
2,Ekin =,20083.999522,20084.049302,25072.411183,24271.188070
3,Ecoul =,7989.999458,7990.617697,8285.370514,8250.008963
4,Eenuc =,-47803.484105,-47804.141155,-54541.343838,-53656.421789
5,Exc =,-360.929324,-360.979787,-340.006762,-338.704027
6,1s,-2975.550959,-2975.543735-2975.542382,-3302.086274,-3308.767700
7,2s,-502.950758,-502.943206-502.942647,-593.426961,-595.093629
8,2p,-484.716359,-484.708988-484.708043,-570.461192-486.404040,-509.853412
9,3s,-120.613998,-120.606635-120.605837,-143.308860,-143.733840
10,3p,-111.883393,-111.876088-111.875166,-132.886196-114.043678,-119.340536
11,3d,-95.532476,-95.525117-95.524284,-96.921082-92.902698,-94.780745
12,4s,-27.070340,-27.063374-27.061927,-32.859470,-32.963243
13,4p,-23.218641,-23.211718-23.210188,-28.318752-23.663146,-24.955275
14,4d,-16.084817,-16.077931-16.076332,-16.257998-15.384422,-15.782515
15,4f,-6.382744,-6.375924-6.374212,-5.728200-5.526535,-5.638061
16,5s,-4.611934,-4.606612-4.602514,-5.758438,-5.780180
17,5p,-3.293637,-3.288694-3.283907,-4.176012-3.270574,-3.517451
18,5d,-1.139408,-1.137372-1.126794,-1.063136-0.952668,-1.001713
19,6s,-0.426129,-0.443921-0.391121,-0.536882,-0.539987
20,6p,-0.180198,-0.198520-0.145543,-0.228107-0.156444,-0.175191
