,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-25658.417889,-25658.474515,-28001.132325,-27899.641656
2,Ekin =,25651.231184,25651.295114,34199.392283,32712.794654
3,Ecoul =,9991.594178,9992.121719,10455.164247,10394.448135
4,Eenuc =,-60876.210623,-60876.791725,-72259.684711,-70612.383890
5,Exc =,-425.032628,-425.099623,-396.004144,-394.500555
6,1s,-3689.355141,-3689.348736-3689.348752,-4223.419021,-4234.557545
7,2s,-639.778728,-639.773150-639.771224,-789.489782,-792.373880
8,2p,-619.108550,-619.102646-619.101401,-761.374476-622.848095,-659.140870
9,3s,-161.118073,-161.118493-161.104628,-199.429806,-200.210831
10,3p,-150.978980,-150.978905-150.966024,-186.663713-154.701027,-163.188263
11,3d,-131.977358,-131.975819-131.965827,-134.541180-128.016657,-131.090673
12,4s,-40.528084,-40.525805-40.517810,-50.788948,-51.001789
13,4p,-35.853321,-35.851213-35.842871,-45.037171-36.688610,-38.892032
14,4d,-27.123212,-27.121607-27.112235,-27.529306-25.985429,-26.705640
15,4f,-15.027460,-15.027524-15.014744,-13.889514-13.485470,-13.729240
16,5s,-8.824089,-8.844331-8.790934,-11.295587,-11.350493
17,5p,-7.018092,-7.039793-6.983416,-9.057964-7.069296,-7.590528
18,5d,-3.866175,-3.890848-3.828446,-3.797416-3.501217,-3.638317
19,5f,-0.366543,-0.393347-0.327947,-0.146788-0.116047,-0.133390
20,6s,-1.325976,-1.349418-1.292516,-1.748040,-1.757867
21,6p,-0.822538,-0.843401-0.792875,-1.101119-0.775784,-0.856604
22,6d,-0.143190,-0.156101-0.125558,-0.103041-0.084802,-0.091405
23,7s,-0.130948,-0.136573-0.123603,-0.160947,-0.160828
