,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-2398.111440,-2398.134930,-2424.568130,-2424.422236
2,Ekin =,2395.934307,2395.962682,2477.118890,2468.433596
3,Ecoul =,1028.192719,1028.331555,1035.936588,1035.314833
4,Eenuc =,-5738.619928,-5738.781414,-5855.395556,-5846.021845
5,Exc =,-83.618538,-83.647752,-82.228052,-82.148820
6,1s,-451.300258,-451.297486-451.293530,-457.074584,-457.231761
7,2s,-57.311948,-57.308578-57.306154,-58.799215,-58.826153
8,2p,-51.514388,-51.511562-51.507995,-52.849599-51.325968,-51.846334
9,3s,-7.547186,-7.545513-7.540250,-7.793338,-7.796366
10,3p,-5.553517,-5.552210-5.546204,-5.748636-5.533413,-5.605246
11,3d,-2.011392,-2.011154-2.002955,-1.983004-1.950102,-1.964091
12,4s,-0.621248,-0.641747-0.590984,-0.641075,-0.641257
13,4p,-0.245806,-0.265108-0.217851,-0.254215-0.240036,-0.244645
