,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-7228.856107,-7228.856107,-7433.498065,-7430.574788
2,Ekin =,7225.097817,7225.097817,7874.305721,7791.610919
3,Ecoul =,2880.919348,2880.919348,2934.185566,2929.297187
4,Eenuc =,-17159.159426,-17159.159426,-18071.845782,-17981.734879
5,Exc =,-175.713845,-175.713845,-170.143570,-169.748015
6,1s,-1208.688993,-1208.688993-1208.688993,-1254.713974,-1255.733395
7,2s,-183.327495,-183.327495-183.327495,-195.477659,-195.699538
8,2p,-172.599583,-172.599583-172.599583,-183.896903-172.083686,-175.890898
9,3s,-37.415454,-37.415454-37.415454,-39.988929,-40.033422
10,3p,-32.867042,-32.867042-32.867042,-35.132640-32.888012,-33.608877
11,3d,-24.378230,-24.378230-24.378230,-24.271177-23.794336,-24.016322
12,4s,-6.678340,-6.678340-6.678340,-7.209464,-7.217400
13,4p,-5.063802,-5.063802-5.063802,-5.484117-5.032027,-5.174908
14,4d,-2.286666,-2.286666-2.286666,-2.228325-2.155148,-2.187468
15,5s,-0.672086,-0.672086-0.672086,-0.731339,-0.732330
16,5p,-0.309835,-0.309835-0.309835,-0.340204-0.293849,-0.308113
