,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-16801.677471,-16801.722861,-17812.347935,-17782.469078
2,Ekin =,16795.798049,16795.850293,20225.779392,19701.968192
3,Ecoul =,6740.648988,6740.917855,6950.774432,6926.638444
4,Eenuc =,-40018.842379,-40019.155929,-44686.284140,-44109.558374
5,Exc =,-319.282128,-319.335079,-302.617619,-301.517340
6,1s,-2543.761342,-2543.757371-2543.757098,-2773.939780,-2778.633804
7,2s,-422.159424,-422.158998-422.151653,-485.484666,-486.623456
8,2p,-405.526834,-405.525685-405.519767,-465.397055-406.365923,-423.436920
9,3s,-97.923081,-97.921005-97.917213,-113.594039,-113.869808
10,3p,-90.108427,-90.106331-90.102565,-104.536469-91.598032,-95.354191
11,3d,-75.485027,-75.483651-75.478392,-76.401812-73.589708,-74.896156
12,4s,-20.294290,-20.294035-20.287014,-24.202102,-24.262392
13,4p,-16.966578,-16.966543-16.959085,-20.370964-17.300452,-18.175567
14,4d,-10.856593,-10.857251-10.848400,-10.996190-10.423310,-10.678393
15,4f,-2.738339,-2.740748-2.728355,-2.368077-2.253353,-2.310376
16,5s,-2.909174,-2.933393-2.876582,-3.585922,-3.594854
17,5p,-1.883349,-1.909594-1.848655,-2.375491-1.875568,-2.012925
18,5d,-0.335189,-0.361901-0.301200,-0.299648-0.254380,-0.271664
19,6s,-0.195511,-0.205828-0.183545,-0.240952,-0.240755
