,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-758.679275,-758.685248,-761.836473,-761.830251
2,Ekin =,757.525200,757.532115,767.085779,766.171674
3,Ecoul =,318.555762,318.605740,319.734188,319.643878
4,Eenuc =,-1797.853811,-1797.907745,-1812.061408,-1811.065621
5,Exc =,-36.906426,-36.915357,-36.595031,-36.580182
6,1s,-160.184109,-160.181357-160.181459,-160.779385,-160.804757
7,2s,-17.206464,-17.207840-17.199024,-17.351551,-17.355047
8,2p,-14.240006,-14.240439-14.233577,-14.359346-14.189749,-14.249684
9,3s,-1.988378,-1.999553-1.972003,-2.007904,-2.008193
10,3p,-1.233165,-1.244357-1.216970,-1.245827-1.226899,-1.233386
11,3d,-0.131080,-0.141137-0.117270,-0.127263-0.126132,-0.126547
12,4s,-0.156478,-0.160962-0.150882,-0.157538,-0.157550
