,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-2936.337293,-2936.342160,-2974.774466,-2974.521260
2,Ekin =,2933.940454,2933.947490,3052.347490,3039.307683
3,Ecoul =,1239.168864,1239.258490,1250.536581,1249.631696
4,Eenuc =,-7013.689550,-7013.783989,-7183.686413,-7169.595831
5,Exc =,-95.757061,-95.764150,-93.972124,-93.864809
6,1s,-540.957115,-540.954729-540.954452,-549.409305,-549.629435
7,2s,-71.291202,-71.288799-71.288600,-73.465683,-73.505381
8,2p,-64.784678,-64.782264-64.782081,-66.751268-64.534414,-65.286447
9,3s,-10.513861,-10.511550-10.511207,-10.882833,-10.888030
10,3p,-8.165416,-8.163113-8.162755,-8.463932-8.129911,-8.241177
11,3d,-3.915508,-3.913223-3.912834,-3.864288-3.807347,-3.832301
12,4s,-1.135051,-1.133408-1.132002,-1.172328,-1.172783
13,4p,-0.592170,-0.591140-0.588538,-0.611506-0.578647,-0.589351
14,5s,-0.085375,-0.092124-0.072900,-0.086702,-0.086705
