,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-1042.030238,-1042.218348,-1047.738289,-1047.723197
2,Ekin =,1040.642716,1040.859934,1057.972206,1056.270005
3,Ecoul =,441.867987,442.886110,443.665838,443.512785
4,Eenuc =,-2478.305541,-2479.487016,-2503.620900,-2501.774322
5,Exc =,-46.235400,-46.477376,-45.755433,-45.731664
6,1s,-213.881191,-213.832160-213.831065,-215.028330,-215.070201
7,2s,-24.113457,-24.093755-24.028398,-24.405800,-24.411958
8,2p,-20.526273,-20.499415-20.449201,-20.776016-20.460135,-20.570871
9,3s,-2.649085,-2.678532-2.522901,-2.697331,-2.697883
10,3p,-1.654230,-1.683565-1.530054,-1.689735-1.652130,-1.664941
11,3d,-0.118123,-0.146363-0.011316,-0.117045-0.114177,-0.115300
12,4s,-0.150445,-0.166559-0.094148,-0.153614,-0.153632
