,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-10031.259090,-10031.483696,-10410.180577,-10403.010637
2,Ekin =,10026.812733,10027.055760,11252.096773,11085.764075
3,Ecoul =,3962.921783,3964.545812,4050.499508,4041.462756
4,Eenuc =,-23800.753315,-23802.569881,-25501.109752,-25319.183030
5,Exc =,-220.240290,-220.515387,-211.667105,-211.054438
6,1s,-1617.183426,-1617.153484-1617.153480,-1702.874585,-1704.693193
7,2s,-255.498846,-255.468071-255.464242,-278.515205,-278.930315
8,2p,-242.729726,-242.698734-242.696455,-264.291343-242.378584,-249.216136
9,3s,-55.731133,-55.738394-55.650047,-61.034322,-61.125176
10,3p,-50.084260,-50.088184-50.006966,-54.858318-50.418981,-51.803619
11,3d,-39.528656,-39.522730-39.462389,-39.624800-38.655428,-39.107863
12,4s,-10.844667,-10.899734-10.724007,-12.106389,-12.124265
13,4p,-8.672685,-8.727816-8.552998,-9.731834-8.750785,-9.051760
14,4d,-4.814978,-4.870173-4.697796,-4.823664-4.647668,-4.725904
15,4f,-0.217760,-0.268480-0.119511,-0.113589-0.093594,-0.102397
16,5s,-1.408552,-1.440098-1.357441,-1.585793,-1.588285
17,5p,-0.835987,-0.861438-0.796081,-0.946807-0.816537,-0.855470
18,6s,-0.128259,-0.131095-0.124603,-0.136363,-0.136376
