,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-21261.555215,-21261.559507,-22865.077401,-22806.622360
2,Ekin =,21254.968349,21254.973586,26889.178263,25968.367009
3,Ecoul =,8414.956548,8415.002026,8745.233662,8705.032520
4,Eenuc =,-50556.606342,-50556.656150,-58147.106215,-57129.005175
5,Exc =,-374.873771,-374.878969,-352.383112,-351.016713
6,1s,-3127.390276,-3127.390020-3127.389361,-3492.722747,-3500.223587
7,2s,-531.818350,-531.817931-531.817614,-633.276697,-635.166109
8,2p,-513.044243,-513.043911-513.043417,-609.261271-515.071968,-541.012473
9,3s,-129.035542,-129.035178-129.034768,-154.580820,-155.071769
10,3p,-119.995013,-119.994678-119.994208,-143.670470-122.411315,-128.320674
11,3d,-103.060375,-103.060021-103.059586,-104.628658-100.131690,-102.239988
12,4s,-29.809515,-29.809319-29.808590,-36.372756,-36.498027
13,4p,-25.778264,-25.778088-25.777319,-31.578897-26.257094,-27.721853
14,4d,-18.295162,-18.295002-18.294202,-18.472225-17.474523,-17.934481
15,4f,-8.063483,-8.063341-8.062505,-7.280489-7.042030,-7.179639
16,5s,-5.453383,-5.453871-5.451841,-6.800978,-6.830845
17,5p,-4.027061,-4.027678-4.025394,-5.080651-3.986868,-4.285709
18,5d,-1.643758,-1.645227-1.641235,-1.540437-1.396355,-1.463449
19,6s,-0.560189,-0.568327-0.550769,-0.714249,-0.719446
20,6p,-0.255453,-0.263450-0.246260,-0.332945-0.222891,-0.251597
