,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-23088.688083,-23088.688083,-24980.062201,-24905.739724
2,Ekin =,23081.867528,23081.867528,29829.160514,28696.848125
3,Ecoul =,9045.587062,9045.587062,9435.543436,9387.182637
4,Eenuc =,-54820.474650,-54820.474650,-63874.100552,-62620.553123
5,Exc =,-395.668023,-395.668023,-370.665599,-369.217363
6,1s,-3362.736563,-3362.736563-3362.736563,-3793.581837,-3802.484706
7,2s,-577.101208,-577.101208-577.101208,-697.162810,-699.435484
8,2p,-557.513214,-557.513214-557.513214,-671.475213-560.109138,-590.162055
9,3s,-142.632426,-142.632426-142.632426,-173.015134,-173.619418
10,3p,-133.123250,-133.123250-133.123250,-161.338908-135.955553,-142.883978
11,3d,-115.306476,-115.306476-115.306476,-117.166082-111.870993,-114.362488
12,4s,-34.525628,-34.525628-34.525628,-42.412609,-42.573968
13,4p,-30.221208,-30.221208-30.221208,-37.222438-30.746448,-32.502039
14,4d,-22.208125,-22.208125-22.208125,-22.381087-21.171663,-21.735595
15,4f,-11.181066,-11.181066-11.181066,-10.167512-9.865421,-10.046721
16,5s,-7.139137,-7.139137-7.139137,-8.832818,-8.875065
17,5p,-5.547203,-5.547203-5.547203,-6.896142-5.464147,-5.852153
18,5d,-2.819853,-2.819853-2.819853,-2.655697-2.451623,-2.548961
19,6s,-1.051350,-1.051350-1.051350,-1.280047,-1.288559
20,6p,-0.634674,-0.634674-0.634674,-0.766500-0.559124,-0.613729
21,7s,-0.113732,-0.113732-0.113732,-0.125329,-0.125440
