,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-9651.484134,-9651.636319,-10003.863756,-9997.413383
2,Ekin =,9647.133137,9647.298194,10783.616266,10630.514309
3,Ecoul =,3806.516511,3807.735378,3889.128004,3880.708012
4,Eenuc =,-22890.942295,-22892.288824,-24470.563306,-24303.174656
5,Exc =,-214.191488,-214.381068,-206.044719,-205.461048
6,1s,-1562.980284,-1562.957718-1562.957717,-1642.605146,-1644.303545
7,2s,-245.970548,-245.947297-245.944487,-267.311711,-267.697674
8,2p,-233.455114,-233.431709-233.430053,-253.430803-233.064205,-239.447431
9,3s,-53.429311,-53.436081-53.366937,-58.303761,-58.387642
10,3p,-47.921132,-47.925312-47.861671,-52.298933-48.20162,-49.485002
11,3d,-37.625433,-37.621911-37.574516,-37.683353-36.790639,-37.207597
12,4s,-10.422756,-10.469433-10.326580,-11.572384,-11.588854
13,4p,-8.320495,-8.367273-8.225010,-9.281403-8.380878,-8.658468
14,4d,-4.596822,-4.643721-4.503197,-4.593961-4.433248,-4.504790
15,4f,-0.200159,-0.242988-0.121765,-0.100204-0.082819,-0.090438
16,5s,-1.372265,-1.399612-1.329513,-1.534848,-1.537165
17,5p,-0.817702,-0.839798-0.784108,-0.919260-0.798363,-0.834715
18,6s,-0.127053,-0.129575-0.123824,-0.134772,-0.134788
